feature,importance
Duration_total_mins,0.4174018015120378
Journey_day,0.11896194342938829
Airline_Jet Airways Business,0.06559984278926935
Airline_Jet Airways,0.05931723147485543
Journey_month,0.0553199276413906
Duration_hours,0.05323535392928346
Arrival_hour,0.030346477632393853
Total_Stops,0.028501683626356123
Dep_hour,0.02256073133277532
Dep_min,0.020231420752280273
Journey_weekday,0.019817061188209886
Airline_Multiple carriers,0.01854821854310419
Destination_New Delhi,0.016450663053892884
Arrival_min,0.016107507821553402
Duration_mins,0.01488358278282043
Airline_IndiGo,0.006973775407596344
Source_Banglore,0.006614875838641605
Airline_Air India,0.004714077758179598
Destination_Hyderabad,0.0031386062171717584
Source_Mumbai,0.0031158415955614568
Source_Kolkata,0.0026196708812437504
Airline_Vistara,0.0022960137481177964
Airline_SpiceJet,0.002215972084532191
Destination_Banglore,0.0021262341022150327
Source_Delhi,0.0021150107559935456
Destination_Cochin,0.0017301269363490146
Airline_GoAir,0.0016032271703332961
Airline_Air Asia,0.0012551117991766133
Airline_Multiple carriers Premium economy,0.0008423214719460483
Destination_Kolkata,0.000697196664558305
Source_Chennai,0.0004025864256040379
Destination_Delhi,0.0002525418530185276
Airline_Vistara Premium economy,3.3617801498311088e-06
Airline_Trujet,0.0
